period,region,channel,sku,volume_000_litres,net_revenue_tzs_m,unit,currency,period_days
2025H1,Dar es Salaam,Modern trade,350ml,120,240.0,000 litres,TZS million,181
2025H1,Dar es Salaam,Modern trade,500ml,200,360.0,000 litres,TZS million,181
2025H1,Dar es Salaam,Dukas - direct van,350ml,300,600.0,000 litres,TZS million,181
2025H1,Dar es Salaam,Dukas - direct van,500ml,500,900.0,000 litres,TZS million,181
2025H1,Dar es Salaam,Dukas - via wholesalers,350ml,150,300.0,000 litres,TZS million,181
2025H1,Dar es Salaam,Dukas - via wholesalers,500ml,250,450.0,000 litres,TZS million,181
2025H1,Mwanza,Modern trade,350ml,30,60.0,000 litres,TZS million,181
2025H1,Mwanza,Modern trade,500ml,50,90.0,000 litres,TZS million,181
2025H1,Mwanza,Dukas - direct van,350ml,80,160.0,000 litres,TZS million,181
2025H1,Mwanza,Dukas - direct van,500ml,140,252.0,000 litres,TZS million,181
2025H1,Mwanza,Dukas - via wholesalers,350ml,160,320.0,000 litres,TZS million,181
2025H1,Mwanza,Dukas - via wholesalers,500ml,260,468.0,000 litres,TZS million,181
2025H1,Arusha,Modern trade,350ml,25,50.0,000 litres,TZS million,181
2025H1,Arusha,Modern trade,500ml,45,81.0,000 litres,TZS million,181
2025H1,Arusha,Dukas - direct van,350ml,70,140.0,000 litres,TZS million,181
2025H1,Arusha,Dukas - direct van,500ml,120,216.0,000 litres,TZS million,181
2025H1,Arusha,Dukas - via wholesalers,350ml,140,280.0,000 litres,TZS million,181
2025H1,Arusha,Dukas - via wholesalers,500ml,230,414.0,000 litres,TZS million,181
2025H1,Dodoma,Modern trade,350ml,15,30.0,000 litres,TZS million,181
2025H1,Dodoma,Modern trade,500ml,30,54.0,000 litres,TZS million,181
2025H1,Dodoma,Dukas - direct van,350ml,60,120.0,000 litres,TZS million,181
2025H1,Dodoma,Dukas - direct van,500ml,100,180.0,000 litres,TZS million,181
2025H1,Dodoma,Dukas - via wholesalers,350ml,90,180.0,000 litres,TZS million,181
2025H1,Dodoma,Dukas - via wholesalers,500ml,150,270.0,000 litres,TZS million,181
2026H1,Dar es Salaam,Modern trade,350ml,126,252.0,000 litres,TZS million,181
2026H1,Dar es Salaam,Modern trade,500ml,196,370.44,000 litres,TZS million,181
2026H1,Dar es Salaam,Dukas - direct van,350ml,309,618.0,000 litres,TZS million,181
2026H1,Dar es Salaam,Dukas - direct van,500ml,480,907.2,000 litres,TZS million,181
2026H1,Dar es Salaam,Dukas - via wholesalers,350ml,153,306.0,000 litres,TZS million,181
2026H1,Dar es Salaam,Dukas - via wholesalers,500ml,240,453.6,000 litres,TZS million,181
2026H1,Mwanza,Modern trade,350ml,31,62.0,000 litres,TZS million,181
2026H1,Mwanza,Modern trade,500ml,49,92.61,000 litres,TZS million,181
2026H1,Mwanza,Dukas - direct van,350ml,82,164.0,000 litres,TZS million,181
2026H1,Mwanza,Dukas - direct van,500ml,136,257.04,000 litres,TZS million,181
2026H1,Mwanza,Dukas - via wholesalers,350ml,104,208.0,000 litres,TZS million,181
2026H1,Mwanza,Dukas - via wholesalers,500ml,166,313.74,000 litres,TZS million,181
2026H1,Arusha,Modern trade,350ml,26,52.0,000 litres,TZS million,181
2026H1,Arusha,Modern trade,500ml,44,83.16,000 litres,TZS million,181
2026H1,Arusha,Dukas - direct van,350ml,71,142.0,000 litres,TZS million,181
2026H1,Arusha,Dukas - direct van,500ml,116,219.24,000 litres,TZS million,181
2026H1,Arusha,Dukas - via wholesalers,350ml,98,196.0,000 litres,TZS million,181
2026H1,Arusha,Dukas - via wholesalers,500ml,156,294.84,000 litres,TZS million,181
2026H1,Dodoma,Modern trade,350ml,15,30.0,000 litres,TZS million,181
2026H1,Dodoma,Modern trade,500ml,30,56.7,000 litres,TZS million,181
2026H1,Dodoma,Dukas - direct van,350ml,61,122.0,000 litres,TZS million,181
2026H1,Dodoma,Dukas - direct van,500ml,97,183.33,000 litres,TZS million,181
2026H1,Dodoma,Dukas - via wholesalers,350ml,91,182.0,000 litres,TZS million,181
2026H1,Dodoma,Dukas - via wholesalers,500ml,144,272.16,000 litres,TZS million,181
