period,group,value,unit,measure
2025H1,Arusha | Dukas - direct van,190,000 litres,sell-out volume
2025H1,Arusha | Dukas - via wholesalers,370,000 litres,sell-out volume
2025H1,Arusha | Modern trade,70,000 litres,sell-out volume
2025H1,Dar es Salaam | Dukas - direct van,800,000 litres,sell-out volume
2025H1,Dar es Salaam | Dukas - via wholesalers,400,000 litres,sell-out volume
2025H1,Dar es Salaam | Modern trade,320,000 litres,sell-out volume
2025H1,Dodoma | Dukas - direct van,160,000 litres,sell-out volume
2025H1,Dodoma | Dukas - via wholesalers,240,000 litres,sell-out volume
2025H1,Dodoma | Modern trade,45,000 litres,sell-out volume
2025H1,Mwanza | Dukas - direct van,220,000 litres,sell-out volume
2025H1,Mwanza | Dukas - via wholesalers,420,000 litres,sell-out volume
2025H1,Mwanza | Modern trade,80,000 litres,sell-out volume
2026H1,Arusha | Dukas - direct van,187,000 litres,sell-out volume
2026H1,Arusha | Dukas - via wholesalers,254,000 litres,sell-out volume
2026H1,Arusha | Modern trade,70,000 litres,sell-out volume
2026H1,Dar es Salaam | Dukas - direct van,789,000 litres,sell-out volume
2026H1,Dar es Salaam | Dukas - via wholesalers,393,000 litres,sell-out volume
2026H1,Dar es Salaam | Modern trade,322,000 litres,sell-out volume
2026H1,Dodoma | Dukas - direct van,158,000 litres,sell-out volume
2026H1,Dodoma | Dukas - via wholesalers,235,000 litres,sell-out volume
2026H1,Dodoma | Modern trade,45,000 litres,sell-out volume
2026H1,Mwanza | Dukas - direct van,218,000 litres,sell-out volume
2026H1,Mwanza | Dukas - via wholesalers,270,000 litres,sell-out volume
2026H1,Mwanza | Modern trade,80,000 litres,sell-out volume
